University,CGPA,GRE,TOEFL,IELTS,Gap_year,Ugrad_Major,Work_Experience,Degree,Paper,Funding,Ugrad,Decision
North Carolina State University,3.45,310,99,7.9,0,EEE,Internship,PhD,3+,None,KUET,Accepted
West Virginia University,3.45,333,104,6.8,0,EEE,Internship,PhD,3+,Partial,CUET,Accepted
University of Wisconsin-Madison,3.47,300,91,8.3,1,CE,None,PhD,3+,None,CUET,Accepted
New Jersey Institute of Technology,3.86,300,93,7.5,1,Mathematics,None,PhD,2,Partial,DU,Accepted
Yale University,2.93,308,105,7.3,0,Biology,Full-time Job,MS,0,Full,NSU,Rejected
Louisiana Tech University,3.29,323,98,6.8,1,Physics,Internship,PhD,0,Full,IUT,Rejected
University of Alabama,3.55,308,103,6.9,1,ME,Full-time Job,PhD,1,Partial,KUET,Rejected
Worcester Polytechnic Institute,3.93,314,89,6.8,1,EEE,Full-time Job,MS,3+,Full,KUET,Accepted
University of Rhode Island,3.42,317,82,7.8,2,CSE,Internship,PhD,3,Partial,BRAC,Rejected
Lehigh University,3.1,321,106,7.1,0,Biology,Full-time Job,PhD,1,None,DU,Rejected
Georgia Institute of Technology,3.07,324,102,7.1,0,EEE,None,PhD,1,None,BRAC,Accepted
Washington State University,3.13,317,98,7.4,0,EEE,Internship,PhD,3,None,KUET,Rejected
University of Massachusetts Amherst,3.45,310,112,8.0,1,Biology,Full-time Job,MS,2+,Partial,CUET,Rejected
University of Idaho,3.45,317,112,7.4,1,ME,Full-time Job,PhD,0,Partial,IUT,Accepted
Washington State University,3.62,305,107,7.6,0,ME,Internship,MS,2,Full,IUT,Rejected
George Mason University,3.62,308,95,6.6,1,CE,Full-time Job,PhD,3+,None,NSU,Rejected
The University of Texas at Arlington,3.08,317,97,7.5,0,ME,Internship,PhD,2,Partial,RUET,Accepted
Wayne State University,3.57,302,101,7.5,2,CE,Internship,MS,2+,None,RUET,Accepted
University of Central Florida,3.5,309,107,8.4,0,CE,None,MS,3,Partial,NSU,Rejected
Texas A&M University,3.48,293,93,7.6,1,Biology,Internship,MS,2,Partial,CUET,Accepted
Massachusetts Institute of Technology,3.66,303,80,7.5,0,CE,Full-time Job,PhD,2,Full,RUET,Accepted
Ohio University,2.96,299,90,7.3,0,CSE,None,MS,3+,Partial,RUET,Rejected
University of Texas at Arlington,3.34,299,105,7.6,0,EEE,Full-time Job,PhD,3+,None,KUET,Rejected
University of Michigan,3.87,294,84,7.7,2,EEE,Internship,MS,2,Partial,CUET,Accepted
Rice University,3.15,310,95,8.1,2,Mathematics,None,PhD,0,Partial,KUET,Accepted
University of Michigan,3.51,311,98,7.0,1,Physics,None,PhD,2+,Partial,IUT,Rejected
"University of California, Los Angeles",3.35,319,113,7.5,0,EEE,None,MS,2+,Partial,IUT,Rejected
University of Rhode Island,2.79,298,80,7.9,0,Mathematics,Internship,PhD,1,Partial,BRAC,Accepted
Indiana University Bloomington,3.73,315,80,7.1,1,ME,None,PhD,2+,Partial,BUET,Accepted
New Mexico Institute of Mining and Technology,3.95,297,104,7.6,0,CE,Internship,PhD,2+,None,BUET,Accepted
University of Texas at Arlington,3.1,305,94,8.9,1,ME,Internship,MS,3+,Partial,BRAC,Rejected
University of Rhode Island,3.41,312,107,7.9,0,Biology,Internship,MS,2+,Full,KUET,Rejected
Boston University,3.81,319,87,7.5,0,Physics,None,MS,1,None,BUET,Accepted
Buffalo State University,3.58,324,109,7.4,0,CSE,None,MS,3,Full,KUET,Accepted
Pennsylvania State University,3.71,299,89,7.7,1,Biology,Internship,PhD,3+,Full,CUET,Rejected
University of Wisconsin–Madison,3.06,304,115,7.9,2,ME,Internship,MS,2+,None,IUT,Accepted
University of Nebraska-Lincoln,3.11,324,103,8.4,0,Physics,Internship,MS,0,None,KUET,Accepted
Fordham University,3.21,307,96,7.6,1,Mathematics,None,MS,2+,Partial,DU,Accepted
University of Maryland,3.24,314,95,8.3,0,CSE,Full-time Job,PhD,2+,None,IUT,Rejected
University of South Florida,3.35,313,94,6.7,0,ME,Full-time Job,PhD,2+,Partial,BRAC,Rejected
University of Toledo,3.55,319,83,7.4,0,Physics,Full-time Job,MS,2+,Full,RUET,Rejected
University of North Carolina at Chapel Hill,3.38,307,94,7.2,0,ME,None,PhD,3,None,CUET,Rejected
Virginia Tech,3.38,300,92,7.2,0,Mathematics,Internship,MS,3,Full,RUET,Rejected
Louisiana Tech University,3.29,305,93,7.6,2,Biology,Internship,PhD,3,None,DU,Accepted
University of Colorado Boulder,3.84,291,98,8.3,0,CSE,Internship,MS,1,Full,RUET,Rejected
Rice University,3.73,323,103,7.8,0,Mathematics,None,MS,3+,Full,CUET,Rejected
Illinois Institute of Technology,2.78,310,84,7.2,2,CSE,Internship,PhD,2+,Full,BRAC,Accepted
Lehigh University,3.71,295,80,7.9,1,Mathematics,None,PhD,3+,Partial,CUET,Accepted
Pratt Institute,3.07,312,88,8.2,0,EEE,None,MS,2,None,CUET,Accepted
University of Illinois Urbana-Champaign,3.6,316,95,7.7,2,CE,Full-time Job,PhD,2+,Full,KUET,Rejected
University of Central Florida,3.11,302,86,8.1,1,ME,Internship,MS,1,None,NSU,Rejected
University of Central Florida,3.1,306,92,7.5,2,Mathematics,Full-time Job,PhD,2,Partial,BRAC,Accepted
Stevens Institute of Technology,3.6,317,111,7.8,0,Physics,Full-time Job,PhD,2,None,IUT,Rejected
University of Alabama,3.46,313,101,7.1,0,Mathematics,Internship,PhD,1,None,BUET,Rejected
Purdue University,2.88,305,99,8.3,0,ME,None,PhD,2+,Full,CUET,Rejected
Pennsylvania State University,2.96,296,108,7.9,0,CE,Full-time Job,MS,2,Full,RUET,Rejected
Massachusetts Institute of Technology,3.81,322,93,7.0,1,CSE,None,MS,2,None,BRAC,Rejected
University of Minnesota Duluth,3.36,310,113,7.9,0,CE,None,PhD,3,Partial,CUET,Accepted
Virginia Tech,3.36,325,102,7.4,0,CE,Internship,MS,3,Full,CUET,Rejected
